Entity1,Relation,Entity2
This User Agreement,related_to,the Mobile Application Terms of Use
The Mobile Application Terms,related_to,this User Agreement
this User Agreement,related_to,Services
eBay Inc.,related_to,2025
this User Agreement,related_to,eBay
Limitation of Liability,related_to,Legal Disputes
third,related_to,Legal Disputes
1,related_to,third
eBay,related_to,eBay
eBay,related_to,third
eBay,related_to,"this User 
Agreement"
third,related_to,Multi-User Account Access
eBay,related_to,Intellectual Property Rights
this User Agreement,related_to,eBay
Fees,related_to,Taxes
4,related_to,Vehicle Purchases & Sales
"eBay Secure 
Checkout",related_to,eBay
Caramel,related_to,eBay
Caramel,related_to,Caramel Services
eBay,related_to,eBay
eBay,related_to,1
ADDITION,related_to,SECTION 16
EXPRESS,related_to,IMPLIED
eBay.com,related_to,eBay
eBay,related_to,eBay
eBay,related_to,fourteen
eBay,related_to,Experian
7,related_to,eBay
several hours,related_to,up to 24 hours
eBay,related_to,eBay
eBay,related_to,eBay
Detailed Seller Ratings,related_to,eBay
eBay,related_to,Duplicate
eBay,related_to,Services
Services,related_to,eBay
third,related_to,Services
Services,related_to,Rules
9,related_to,International Buying and Selling
eBay,related_to,the User Agreement
eBay,related_to,the User Agreement
One,related_to,the eBay International Shipping Program
eBay,related_to,third
Intellectual Property Rights,related_to,eBay
"this User 
Agreement",related_to,third
eBay,related_to,third
third,related_to,eBay
eBay,related_to,third
eBay,related_to,eBay
Copyright Infringement Pursuant to Section 512(c,related_to,Title 17
eBay,related_to,Verified Rights Owner
eBay,related_to,12
eBay,related_to,eBay
Recording Calls,related_to,"Analyzing 
Message Content 
eBay"
User Privacy Notice,related_to,eBay
Communication Preferences,related_to,eBay
eBay,related_to,User Privacy Notice
eBay,related_to,eBay
eBay,related_to,eBay
Privacy of Others,related_to,eBay
third,related_to,Services
"eBay 
Services",related_to,14
eBay,related_to,eBay Money Back Guarantee
eBay,related_to,eBay
eBay,related_to,Order
eBay,related_to,eBay
eBay Money Back Guarantee,related_to,eBay
eBay,related_to,the eBay Money Back Guarantee
the eBay Money Back Guarantee,related_to,the eBay Money Back Guarantee
eBay,related_to,eBay Payment Entity
Services,related_to,eBay
eBay,related_to,the eBay Payment Entities
eBay,related_to,Anti-Money Laundering
eBay,related_to,"eBay Money 
Back Guarantee"
third,related_to,third
third,related_to,third
Warranties,related_to,Limitation of Liability
ADDITION,related_to,PARENT
PARENT,related_to,SUBSIDIARIES
third,related_to,eBay
third,related_to,this User Agreement
third,related_to,eBay
eBay,related_to,eBay
eBay,related_to,the State of Utah
eBay,related_to,eBay
1,related_to,eBay
Dispute,related_to,"the User 
Agreement"
1.​,related_to,Informal Dispute Resolution​
eBay,related_to,Informal Dispute Resolution
Informal Dispute Resolution,related_to,Notice of Dispute
eBay,related_to,583
eBay,related_to,Notice
Notice,related_to,Notice
eBay,related_to,Section 19.B
3.​,related_to,Non-Individualized
Section 19.B.7,related_to,"Batch Arbitration"").​
"
Disputes,related_to,Sections 19.B
4.​,related_to,"Arbitration Procedures​
Arbitration"
Dispute,related_to,Disputes
the Federal Arbitration Act,related_to,1
National Arbitration & Mediation,related_to,NAM
NAM,related_to,Section 19.C
eBay,related_to,eBay Inc.
eBay,related_to,eBay
1,related_to,eBay
U.S.,related_to,eBay
the United States,related_to,Salt Lake County
eBay,related_to,at least 14 days
5.​,related_to,NAM
35 days,related_to,NAM
NAM,related_to,"the ""Fee Schedules"
Dispute,related_to,Demand
"Federal 
Rule of Civil Procedure",related_to,11(b
7.​ Batch Arbitration​,related_to,eBay
NAM,related_to,Demands
the Batch Arbitration,related_to,NAM
The Administrative Arbitrator’s,related_to,eBay
Batch Arbitration,related_to,Batch Arbitration
"Waiver of Class or Other 
Non-Individualized Relief",related_to,Section 19.B.7
Section 19.B.7,related_to,Batch Arbitration
Dispute,related_to,eBay
9.​,related_to,OPT
AMENDMENT,related_to,30 DAYS
OPT,related_to,NOTICE TO EBAY
"LITIGATION 
DEPARTMENT",related_to,583
Notice,related_to,third
User Agreement,related_to,Legal Disputes
the User Agreement,related_to,eBay
30 days',related_to,www.eBay.com
Dispute,related_to,eBay
eBay,related_to,Salt Lake County
the User Agreement,related_to,the User Agreement
eBay,related_to,this User Agreement
eBay,related_to,eBay
The User Agreement,related_to,Services
this User Agreement: Fees and,related_to,Taxes
California,related_to,Cal
the Complaint Assistance Unit of,related_to,"the Division of Consumer 
Services of"
815,related_to,Illinois
the State of Illinois,related_to,Illinois
